,City Name,Country,Latitude,Longitude,Date,Temperature,Humidity,Wind Speed,Clouds
0,new norfolk,AU,-42.78,147.06,2019-04-20,71.6,49.0,14.99,20.0
1,ushuaia,AR,-54.81,-68.31,2019-04-20,42.8,81.0,28.86,75.0
2,payo,ID,-3.75,103.64,2019-04-20,88.82,46.0,3.27,91.0
3,hay river,CA,60.82,-115.79,2019-04-20,32.0,91.0,5.82,90.0
4,hilo,US,19.71,-155.08,2019-04-20,75.0,83.0,14.36,40.0
5,los llanos de aridane,ES,28.66,-17.92,2019-04-20,64.4,68.0,10.29,75.0
6,litovko,RU,49.24,135.18,2019-04-20,49.58,34.0,6.35,14.0
7,puerto ayora,EC,-0.74,-90.35,2019-04-20,78.74,85.0,6.91,70.0
8,butaritari,KI,3.07,172.79,2019-04-20,82.88,75.0,14.47,100.0
9,kruisfontein,ZA,-34.0,24.73,2019-04-20,59.84,83.0,10.63,18.0
10,rio gallegos,AR,-51.62,-69.22,2019-04-20,50.0,66.0,24.16,0.0
11,port alfred,ZA,-33.59,26.89,2019-04-20,66.0,83.0,5.01,61.0
12,san patricio,PY,-26.98,-56.83,2019-04-20,74.24,78.0,5.73,58.0
13,kuna,US,43.49,-116.42,2019-04-20,63.0,87.0,5.82,20.0
14,smithers,CA,54.78,-127.17,2019-04-20,39.2,51.0,5.82,75.0
15,kalabo,ZM,-15.0,22.67,2019-04-20,68.84,79.0,7.49,0.0
16,mataura,NZ,-46.19,168.86,2019-04-20,51.01,90.0,2.86,93.0
17,albany,US,42.65,-73.75,2019-04-20,69.8,100.0,9.06,90.0
18,rikitea,PF,-23.12,-134.97,2019-04-20,79.1,80.0,15.79,71.0
19,cayenne,GF,4.94,-52.33,2019-04-20,78.8,88.0,5.82,97.0
20,esperance,TT,10.24,-61.45,2019-04-20,77.0,88.0,5.82,40.0
21,vila franca do campo,PT,37.72,-25.43,2019-04-20,60.8,87.0,5.82,75.0
22,faanui,PF,-16.48,-151.75,2019-04-20,84.5,72.0,4.72,68.0
23,vao,EE,59.1,26.19,2019-04-20,44.18,66.0,5.3,12.0
24,komsomolskiy,RU,67.55,63.78,2019-04-20,29.78,98.0,8.48,100.0
25,jamestown,AU,-33.21,138.6,2019-04-20,87.02,15.0,15.68,90.0
26,bambous virieux,MU,-20.34,57.76,2019-04-20,84.2,70.0,12.75,75.0
27,chuy,UY,-33.69,-53.46,2019-04-20,68.66,76.0,15.19,39.0
28,gloversville,US,43.05,-74.34,2019-04-20,69.8,100.0,5.32,90.0
29,khatanga,RU,71.98,102.47,2019-04-20,8.18,85.0,6.06,2.0
30,suluova,TR,40.83,35.65,2019-04-20,42.8,56.0,2.24,75.0
31,saint-philippe,CA,45.36,-73.48,2019-04-20,42.01,93.0,17.22,90.0
32,tuktoyaktuk,CA,69.44,-133.03,2019-04-20,11.42,90.0,10.42,98.0
33,panguna,PG,-6.32,155.48,2019-04-20,86.12,68.0,5.82,100.0
34,atchison,US,39.56,-95.12,2019-04-20,51.01,75.0,3.36,1.0
35,kapaa,US,22.08,-159.32,2019-04-20,75.2,73.0,16.11,90.0
36,tiksi,RU,71.64,128.87,2019-04-20,20.78,77.0,5.61,0.0
37,cape town,ZA,-33.93,18.42,2019-04-20,64.99,87.0,6.93,40.0
38,port elizabeth,US,39.31,-74.98,2019-04-20,66.2,93.0,9.17,90.0
39,haradok,BY,55.46,29.99,2019-04-20,48.2,39.0,6.71,90.0
40,east london,ZA,-33.02,27.91,2019-04-20,66.2,55.0,18.34,0.0
41,hambantota,LK,6.12,81.12,2019-04-20,91.4,66.0,5.82,40.0
42,hithadhoo,MV,-0.6,73.08,2019-04-20,85.04,76.0,16.4,99.0
43,sao miguel,BR,4.52,-61.01,2019-04-20,67.04,88.0,3.06,97.0
44,massakory,TD,13.0,15.73,2019-04-20,91.16,16.0,8.79,91.0
45,la union,GT,14.97,-89.29,2019-04-20,72.8,66.0,5.61,82.0
46,hermanus,ZA,-34.42,19.24,2019-04-20,64.0,79.0,1.99,35.0
47,port hardy,CA,50.7,-127.42,2019-04-20,41.0,80.0,9.17,5.0
48,santana do matos,BR,-5.95,-36.65,2019-04-20,75.32,93.0,2.84,99.0
49,hualmay,PE,-11.1,-77.61,2019-04-20,68.48,92.0,15.19,33.0
50,gat,SN,14.69,-16.54,2019-04-20,66.2,82.0,20.8,0.0
51,pevek,RU,69.7,170.27,2019-04-20,9.98,89.0,9.86,100.0
52,atuona,PF,-9.8,-139.03,2019-04-20,83.78,75.0,11.81,39.0
53,punta arenas,CL,-53.16,-70.91,2019-04-20,48.2,70.0,43.62,40.0
54,barrow,AR,-38.31,-60.23,2019-04-20,53.0,80.0,6.64,0.0
55,mayumba,GA,-3.44,10.65,2019-04-20,81.62,84.0,2.68,100.0
56,busselton,AU,-33.64,115.35,2019-04-20,64.0,39.0,15.37,82.0
57,mar del plata,AR,-46.43,-67.52,2019-04-20,51.56,62.0,5.95,4.0
58,vaini,IN,15.34,74.49,2019-04-20,89.6,31.0,5.82,0.0
59,kaitangata,NZ,-46.28,169.85,2019-04-20,52.0,85.0,5.01,99.0
60,lipin bor,RU,60.26,37.97,2019-04-20,36.44,90.0,5.08,61.0
61,castro,CL,-42.48,-73.76,2019-04-20,39.2,100.0,1.59,34.0
62,ponta do sol,BR,-20.63,-46.0,2019-04-20,56.42,91.0,1.36,0.0
63,mount isa,AU,-20.73,139.49,2019-04-20,86.0,27.0,6.93,90.0
64,aksarka,RU,66.56,67.8,2019-04-20,20.06,84.0,4.38,18.0
65,meulaboh,ID,4.14,96.13,2019-04-20,86.3,72.0,12.95,96.0
66,dunedin,NZ,-45.87,170.5,2019-04-20,53.01,91.0,1.99,99.0
67,ribeira grande,PT,38.52,-28.7,2019-04-20,62.6,82.0,3.36,75.0
